Aptiv Cisco:volumedown|192,193,48,146,48,146,48,48,48,146,48,146,48,146,48,48,48,48,48,48,48,48,48,146,48,48,48,48,48,146,48,48,48,48,48,48,48,146,48,146,48,146,48,146,48,48,48,5733|null
Aptiv Cisco:mute|192,193,48,146,48,146,48,48,48,146,48,146,48,48,48,146,48,48,48,48,48,48,48,146,48,48,48,48,48,146,48,48,48,48,48,146,48,48,48,146,48,146,48,146,48,48,48,5733|null
Aptiv Cisco:replay|192,193,48,146,48,146,48,48,48,146,48,146,48,146,48,146,48,146,48,48,48,48,48,146,48,48,48,48,48,146,48,48,48,48,48,48,48,48,48,48,48,146,48,146,48,48,48,5733|null
Aptiv Cisco:asterisk|192,192,48,145,48,145,48,48,48,145,48,145,48,145,48,145,48,145,48,145,48,48,48,48,48,48,48,48,48,145,48,48,48,48,48,48,48,48,48,48,48,48,48,145,48,145,48,5707|null
Aptiv Cisco:aspect|192,193,48,146,48,146,48,48,48,146,48,146,48,48,48,146,48,48,48,146,48,146,48,146,48,48,48,48,48,146,48,48,48,48,48,146,48,48,48,146,48,48,48,48,48,48,48,5733|null
Aptiv Cisco:piponoff|192,193,48,146,48,146,48,48,48,146,48,146,48,146,48,146,48,48,48,146,48,146,48,146,48,48,48,48,48,146,48,48,48,48,48,48,48,48,48,146,48,48,48,48,48,48,48,5733|null
Aptiv Cisco:swap|192,193,48,146,48,146,48,48,48,146,48,146,48,48,48,48,48,146,48,146,48,146,48,146,48,48,48,48,48,146,48,48,48,48,48,146,48,146,48,48,48,48,48,48,48,48,48,5733|null
Aptiv Cisco:move|192,193,48,146,48,146,48,48,48,146,48,146,48,146,48,48,48,146,48,146,48,146,48,146,48,48,48,48,48,146,48,48,48,48,48,48,48,146,48,48,48,48,48,48,48,48,48,5733|null
Aptiv Cisco:pipchanneldown|192,193,48,146,48,146,48,48,48,146,48,146,48,146,48,146,48,146,48,146,48,146,48,146,48,48,48,48,48,146,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,5733|null
Aptiv Cisco:pipchannelup|192,193,48,146,48,146,48,48,48,146,48,146,48,48,48,146,48,146,48,146,48,48,48,146,48,48,48,48,48,146,48,48,48,48,48,146,48,48,48,48,48,48,48,146,48,48,48,5733|null
Aptiv Cisco:channelup|192,193,48,146,48,146,48,48,48,146,48,146,48,146,48,48,48,146,48,146,48,146,48,48,48,48,48,48,48,146,48,48,48,48,48,48,48,146,48,48,48,48,48,48,48,146,48,5733|null
Aptiv Cisco:channeldown|192,193,48,146,48,146,48,48,48,146,48,146,48,48,48,146,48,146,48,146,48,146,48,48,48,48,48,48,48,146,48,48,48,48,48,146,48,48,48,48,48,48,48,48,48,146,48,5733|null
Aptiv Cisco:fav|192,192,48,145,48,145,48,48,48,145,48,145,48,145,48,145,48,145,48,145,48,145,48,48,48,48,48,48,48,145,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,145,48,5707|null
Aptiv Cisco:a|192,192,48,145,48,145,48,48,48,145,48,145,48,145,48,145,48,145,48,145,48,48,48,145,48,48,48,48,48,145,48,48,48,48,48,48,48,48,48,48,48,48,48,145,48,48,48,5707|null
Aptiv Cisco:b|192,192,48,145,48,145,48,48,48,145,48,145,48,48,48,48,48,48,48,48,48,145,48,145,48,48,48,48,48,145,48,48,48,48,48,145,48,145,48,145,48,145,48,48,48,48,48,5707|null
Aptiv Cisco:c|192,192,48,145,48,145,48,48,48,145,48,145,48,145,48,48,48,48,48,48,48,145,48,145,48,48,48,48,48,145,48,48,48,48,48,48,48,145,48,145,48,145,48,48,48,48,48,5707|null
Aptiv Cisco:exit|192,193,48,146,48,146,48,48,48,146,48,146,48,48,48,48,48,146,48,146,48,48,48,146,48,48,48,48,48,146,48,48,48,48,48,146,48,146,48,48,48,48,48,146,48,48,48,5733|null
Aptiv Cisco:dayforward|192,193,48,48,48,48,48,146,48,146,48,146,48,146,48,146,48,146,48,146,48,48,48,48,48,146,48,146,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,146,48,146,48,5733|null
Aptiv Cisco:dayback|192,193,48,48,48,48,48,146,48,146,48,146,48,48,48,48,48,48,48,48,48,146,48,48,48,146,48,146,48,48,48,48,48,48,48,146,48,146,48,146,48,146,48,48,48,146,48,5733|null
Aptiv Cisco:pagedown|192,193,48,146,48,146,48,48,48,146,48,146,48,146,48,146,48,146,48,48,48,146,48,146,48,48,48,48,48,146,48,48,48,48,48,48,48,48,48,48,48,146,48,48,48,48,48,5733|null
Aptiv Cisco:arrowup|192,193,48,146,48,146,48,48,48,146,48,146,48,48,48,146,48,48,48,48,48,48,48,48,48,48,48,48,48,146,48,48,48,48,48,146,48,48,48,146,48,146,48,146,48,146,48,5733|null
Aptiv Cisco:arrowdown|192,193,48,146,48,146,48,48,48,146,48,146,48,146,48,146,48,48,48,146,48,48,48,48,48,48,48,48,48,146,48,48,48,48,48,48,48,48,48,146,48,48,48,146,48,146,48,5733|null
Aptiv Cisco:arrowright|192,193,48,146,48,146,48,48,48,146,48,146,48,48,48,48,48,146,48,48,48,48,48,48,48,48,48,48,48,146,48,48,48,48,48,146,48,146,48,48,48,146,48,146,48,146,48,5733|null
Aptiv Cisco:arrowleft|192,193,48,146,48,146,48,48,48,146,48,146,48,146,48,146,48,48,48,48,48,48,48,48,48,48,48,48,48,146,48,48,48,48,48,48,48,48,48,146,48,146,48,146,48,146,48,5733|null
Aptiv Cisco:ok|192,192,48,145,48,145,48,48,48,145,48,145,48,48,48,48,48,145,48,145,48,48,48,48,48,48,48,48,48,145,48,48,48,48,48,145,48,145,48,48,48,48,48,145,48,145,48,5707|null
Aptiv Cisco:select|192,192,48,145,48,145,48,48,48,145,48,145,48,48,48,48,48,145,48,145,48,48,48,48,48,48,48,48,48,145,48,48,48,48,48,145,48,145,48,48,48,48,48,145,48,145,48,5707|null
