# datt_lite.db - (flat file) database of STB IDs for DATT-Lite, specifically superSling GUI(iTach Remote Keys)script
# latest update: 01/10/2022
# Note: make a backup before editing this file.
#
# The STB ID is the unique ID you will use to communicate with the box via the irk command line.
#        For convenience, the DAC ID can be used for identification purposes, though this is not required.
#        For Cisco STBs, the last 4 digits of the MAC Address can be used, for example.
#        Or you could name the STBs "Sally6412" or "Joe1" / "Joe2" / "Joe3" / etc.
#        As long as the names are unique and alphanumeric (no spaces or punctuation).
#        The STBs are also inventoried on Confluence, where the network IP address of the video encoder is entered:
#        https://confluence.corp.xperi.com/pages/viewpage.action?pageId=303665074
# iTach_IP is the IP Address of the iTach IR Blaster for this STB
# iTach_port is which port (1,2,3) of the iTach is controlling this STB.
# stb_type (more specifically remote control type):
#        1="Charter Motorola"
#        2="Aptiv Cisco"
# Owner/location: comments about where this STB is located.
# 
# The table is PIPE Seperated.
#
# STB_ID|ITACH_IP|ITACH_PORT|STB_TYPE|STB_INFO|STB_IP|ISACTIVE
113|10.177.47.124|1|1|Rack 7-S3-STB13-DCT6412|10.177.47.23|1
114|10.177.47.124|2|1|Rack 7-S3-STB14-DCH3200|10.177.47.24|1
115|10.177.47.124|3|1|Rack 7-S3-STB15-DCT2000|10.177.47.25|1
#SuperRack - RACK 8
116|10.177.47.125|1|1|Rack 8-S1-STB1-DCT2500|10.177.47.29|1
117|10.177.47.125|2|1|Rack 8-S1-STB2-DCX3200|10.177.47.30|1
118|10.177.47.125|3|1|Rack 8-S1-STB3-DCX525e|10.177.47.31|1
119|10.177.47.126|1|1|Rack 8-S1-STB4-DCX3520e|10.177.47.32|1
120|10.177.47.126|2|1|Rack 8-S1-STB5-DCX3400|10.177.47.33|1
121|10.177.47.126|3|1|Rack 8-S2-STB6-Pace Dallas CC|10.177.47.34|1
122|10.177.47.127|1|1|Rack 8-S2-STB7-Pace Seattle|10.177.47.35|1
123|10.177.47.127|2|1|Rack 8-S2-STB8-Pace Tango|10.177.47.36|1
124|10.177.47.127|3|1|Rack 8-S2-STB9-Pace Dallas CC|10.177.47.37|1
125|10.177.47.128|1|1|Rack 8-S2-STB10-DCH6416|10.177.47.38|1
126|10.177.47.128|2|1|Rack 8-S3-STB11-DCH6200|10.177.47.39|1
127|10.177.47.128|3|1|Rack 8-S3-STB12-DCT6416|10.177.47.40|1
128|10.177.47.129|1|1|Rack 8-S3-STB13-DCT6412|10.177.47.41|1
129|10.177.47.129|2|1|Rack 8-S3-STB14-DCH6416|10.177.47.42|1
130|10.177.47.129|3|1|Rack 8-S3-STB15-DCT2000|10.177.47.43|1
#SuperRack - Rack 9.
131|10.177.47.150|1|1|Rack 9-S1-STB1-DCT2500|10.177.47.47|1
132|10.177.47.150|2|1|Rack 9-S1-STB2-DCX3200|10.177.47.48|1
133|10.177.47.150|3|1|Rack 9-S1-STB3-DCX525e|10.177.47.49|1
134|10.177.47.131|1|1|Rack 9-S1-STB4-DCX3520e|10.177.47.50|1
135|10.177.47.131|2|1|Rack 9-S1-STB5-DCX3400|10.177.47.51|1
136|10.177.47.131|3|1|Rack 9-S2-STB6-Pace Dallas CC|10.177.47.52|1
137|10.177.47.132|1|1|Rack 9-S2-STB7-Pace Seattle|10.177.47.53|1
138|10.177.47.132|2|1|Rack 9-S2-STB8-Pace Tango|10.177.47.54|1
139|10.177.47.132|3|1|Rack 9-S2-STB9-Pace Dallas MC|10.177.47.55|1
140|10.177.47.133|1|1|Rack 9-S2-STB10-DCH6416|10.177.47.56|1
141|10.177.47.133|2|1|Rack 9-S3-STB11-DCH6200|10.177.47.57|1
142|10.177.47.133|3|1|Rack 9-S3-STB12-DCT6416|10.177.47.58|1
143|10.177.47.154|1|1|Rack 9-S3-STB13-DCT6412|10.177.47.59|1
144|10.177.47.154|2|1|Rack 9-S3-STB14-DCT3416|10.177.47.60|1
145|10.177.47.154|3|1|Rack 9-S3-STB15-DCT2000|10.177.47.61|1
#SuperRack - Rack 11
146|10.177.47.155|1|1|Rack 11-S1-STB1-DCT2500|10.177.47.65|1
147|10.177.47.155|2|1|Rack 11-S1-STB2-DCX3200|10.177.47.66|1
148|10.177.47.155|3|1|Rack 11-S1-STB3-DCX525e|10.177.47.67|1
149|10.177.47.156|1|1|Rack 11-S1-STB4-DCX3520e|10.177.47.68|1
150|10.177.47.156|2|1|Rack 11-S1-STB5-DCX3400|10.177.47.69|1
151|10.177.47.156|3|1|Rack 11-S2-STB6-Pace Dallas CC|10.177.47.70|1
152|10.177.47.137|1|1|Rack 11-S2-STB7-Pace Seattle|10.177.47.71|1
153|10.177.47.137|2|1|Rack 11-S2-STB8-Pace Tango|10.177.47.72|1
154|10.177.47.137|3|1|Rack 11-S2-STB9-Pace Dallas MC|10.177.47.73|1
155|10.177.47.158|1|1|Rack 11-S2-STB10-DCH6416|10.177.47.74|1
156|10.177.47.158|2|1|Rack 11-S3-STB11-DCH3200|10.177.47.75|1
157|10.177.47.158|3|1|Rack 11-S3-STB12-DCT6412|10.177.47.76|1
158|10.177.47.159|1|1|Rack 11-S3-STB13-DCH6416|10.177.47.77|1
159|10.177.47.159|2|1|Rack 11-S3-STB14-DCT6416|10.177.47.78|1
160|10.177.47.159|3|1|Rack 11-S3-STB15-DCT2000|10.177.47.79|1
#SuperRack - Rack 12
161|10.177.47.140|1|1|Rack 12-S1-STB1-DCT2500|10.177.47.83|1
162|10.177.47.140|2|1|Rack 12-S1-STB2-DCX3200|10.177.47.84|1
163|10.177.47.140|3|1|Rack 12-S1-STB3-DCX525e|10.177.47.85|1
164|10.177.47.141|1|1|Rack 12-S1-STB4-DCX3520e|10.177.47.86|1
165|10.177.47.141|2|1|Rack 12-S1-STB5-DCX3400|10.177.47.87|1
166|10.177.47.141|3|1|Rack 12-S2-STB6-Pace Dallas MC|10.177.47.88|1
167|10.177.47.142|1|1|Rack 12-S2-STB7-Pace Seattle|10.177.47.89|1
168|10.177.47.142|2|1|Rack 12-S2-STB8-Pace Tango|10.177.47.90|1
169|10.177.47.142|3|1|Rack 12-S2-STB9-Pace Denali MC|10.177.47.91|1
170|10.177.47.143|1|1|Rack 12-S2-STB10-DCH3416|10.177.47.92|1
171|10.177.47.143|2|1|Rack 12-S3-STB11-DCH3200|10.177.47.93|1
172|10.177.47.143|3|1|Rack 12-S3-STB12-DCH6416|10.177.47.94|1
173|10.177.47.144|1|1|Rack 12-S3-STB13-DCT6412|10.177.47.95|1
174|10.177.47.144|2|1|Rack 12-S3-STB14-DCT6416|10.177.47.96|1
175|10.177.47.144|3|1|Rack 12-S3-STB15-DCT2000|10.177.47.97|1
